domain_family,instantiation,detector_family,config_id,split_id,unit_scope,n_control_units_cal,n_control_alarm_units,n_event_units_cal,n_event_alarm_units,fp_grid_step,fp_cal,near_accept_flag,distance_to_band,accepted,acceptance_reason,selection_rank,selected_flag,median_lead_cal,iqr_lead_cal_low,iqr_lead_cal_high,param_json,notes
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__0a536aa4,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 3, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__0e65c864,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 3, ""subsequence_length_m"": 128, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__0e6d931a,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 3, ""subsequence_length_m"": 128, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__3b427361,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 1, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__5c407ef5,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 5, ""subsequence_length_m"": 128, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__648a8081,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 3, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__6d77b35a,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 5, ""subsequence_length_m"": 128, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__7e94c235,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 1, ""subsequence_length_m"": 128, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__94be1465,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 1, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__a207599f,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 5, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
