control_id,configs_that_alarm_control
volmageddon_control_2018_01_26,147456
covid_noncollapse_2020_03_23,147456
covid_noncollapse_2020_03_25,147456
volmageddon_control_2018_02_01,146544
volmageddon_control_2018_02_06,146204
covid_noncollapse_2020_03_13,146084
volmageddon_control_2018_01_24,145024
volmageddon_control_2018_01_31,145024
covid_noncollapse_2020_03_27,144656
covid_noncollapse_2020_03_26,144288
covid_noncollapse_2020_03_10,144128
volmageddon_control_2018_01_29,143368
covid_noncollapse_2020_03_11,142888
covid_noncollapse_2020_03_24,142868
covid_noncollapse_2020_03_17,142244
volmageddon_control_2018_02_02,141820
covid_noncollapse_2020_03_20,141440
covid_noncollapse_2020_03_19,140144
volmageddon_control_2018_01_30,138756
covid_noncollapse_2020_03_06,138376
