domain,benchmark,horizon,family,family_group,config_id,params_json,fp,tpr,source_type,marker_category,accepted,nontrivial,band_distance
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__0120f26a,"{""W"": 64, ""k_consec"": 5, ""threshold_quantile"": 0.95}",0.6052631578947368,0.375,curve_point,,False,True,0.5352631578947369
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__06f12cae,"{""W"": 128, ""k_consec"": 1, ""threshold_quantile"": 0.99}",0.7894736842105263,0.875,curve_point,,False,True,0.7194736842105263
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__0c80888b,"{""W"": 128, ""k_consec"": 5, ""threshold_quantile"": 0.9}",0.6842105263157895,0.4375,curve_point,,False,True,0.6142105263157895
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__108e2e2e,"{""W"": 128, ""k_consec"": 5, ""threshold_quantile"": 0.99}",0.3947368421052631,0.125,curve_point,,False,True,0.3247368421052631
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__10e37128,"{""W"": 32, ""k_consec"": 5, ""threshold_quantile"": 0.995}",0.5526315789473685,0.375,curve_point,,False,True,0.4826315789473684
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__11d8ae5e,"{""W"": 256, ""k_consec"": 1, ""threshold_quantile"": 0.99}",0.7894736842105263,0.875,curve_point,,False,True,0.7194736842105263
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__1452c5f9,"{""W"": 64, ""k_consec"": 3, ""threshold_quantile"": 0.975}",0.7894736842105263,0.5625,curve_point,,False,True,0.7194736842105263
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__15141d47,"{""W"": 64, ""k_consec"": 1, ""threshold_quantile"": 0.99}",0.8421052631578947,0.875,curve_point,,False,True,0.7721052631578946
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__154dc58e,"{""W"": 128, ""k_consec"": 1, ""threshold_quantile"": 0.95}",0.8421052631578947,0.875,curve_point,,False,True,0.7721052631578946
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__16162ef3,"{""W"": 256, ""k_consec"": 3, ""threshold_quantile"": 0.99}",0.5789473684210527,0.5,curve_point,,False,True,0.5089473684210526
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__1665d7f2,"{""W"": 256, ""k_consec"": 10, ""threshold_quantile"": 0.99}",0.1578947368421052,0.0625,curve_point,,False,True,0.0878947368421052
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__1ba470ba,"{""W"": 256, ""k_consec"": 1, ""threshold_quantile"": 0.975}",0.8157894736842105,0.875,curve_point,,False,True,0.7457894736842106
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__1eb573c8,"{""W"": 32, ""k_consec"": 10, ""threshold_quantile"": 0.99}",0.3157894736842105,0.1875,curve_point,,False,True,0.2457894736842105
markets,volmageddon_covid_public_v2,,ac1_ews,fast,ac1_ews__2a680fb8,"{""W"": 64, ""k_consec"": 1, ""threshold_quantile"": 0.995}",0.8421052631578947,0.875,curve_point,,False,True,0.7721052631578946
