method,domain,benchmark,config,q_G_pct,q_p_pct,q_delta_pct,k,q_G,q_p,q_delta,n_reference_rows,n_event_units,n_control_units,n_event_alarmed,n_control_alarmed,control_fp,event_alarm_rate,accepted,primary
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=50, k=1",50.0,50.0,50.0,1,0.8118622189884368,0.0,0.5868889774439237,1120,16,38,3,9,0.23684210526315788,0.1875,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=50, k=3",50.0,50.0,50.0,3,0.8118622189884368,0.0,0.5868889774439237,1120,16,38,3,9,0.23684210526315788,0.1875,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=50, k=5",50.0,50.0,50.0,5,0.8118622189884368,0.0,0.5868889774439237,1120,16,38,0,3,0.07894736842105263,0.0,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=60, k=1",60.0,60.0,40.0,1,1.0235548510011976,0.0,0.46740277030576755,1120,16,38,3,9,0.23684210526315788,0.1875,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=60, k=3",60.0,60.0,40.0,3,1.0235548510011976,0.0,0.46740277030576755,1120,16,38,2,8,0.21052631578947367,0.125,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=60, k=5",60.0,60.0,40.0,5,1.0235548510011976,0.0,0.46740277030576755,1120,16,38,0,1,0.02631578947368421,0.0,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=70, k=1",70.0,70.0,30.0,1,1.2821520236312092,0.0,0.4096144604212717,1120,16,38,3,8,0.21052631578947367,0.1875,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=70, k=3",70.0,70.0,30.0,3,1.2821520236312092,0.0,0.4096144604212717,1120,16,38,1,4,0.10526315789473684,0.0625,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=70, k=5",70.0,70.0,30.0,5,1.2821520236312092,0.0,0.4096144604212717,1120,16,38,0,0,0.0,0.0,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=75, k=1",75.0,75.0,25.0,1,1.460776657507733,0.0,0.3495181428779007,1120,16,38,3,7,0.18421052631578946,0.1875,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=75, k=3",75.0,75.0,25.0,3,1.460776657507733,0.0,0.3495181428779007,1120,16,38,0,3,0.07894736842105263,0.0,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=75, k=5",75.0,75.0,25.0,5,1.460776657507733,0.0,0.3495181428779007,1120,16,38,0,0,0.0,0.0,False,False
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=80, k=1",80.0,80.0,20.0,1,1.6483749393878995,0.0,0.3014927455631044,1120,16,38,2,7,0.18421052631578946,0.125,False,False
