method,domain,benchmark,config,q_G_pct,q_p_pct,q_delta_pct,k,q_G,q_p,q_delta,n_reference_rows,n_event_units,n_control_units,n_event_alarmed,n_control_alarmed,control_fp,event_alarm_rate,accepted,primary
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=50, k=1",50.0,50.0,50.0,1,0.0,0.1818181818181817,0.6128774616214123,65620,33777,6562,13664,677,0.1031697653154526,0.40453563075465554,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=50, k=1",50.0,50.0,50.0,1,0.0,0.1818181818181817,0.5953419513405891,39960,36343,3996,10374,20,0.005005005005005005,0.28544699116748756,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=50, k=3",50.0,50.0,50.0,3,0.0,0.1818181818181817,0.6128774616214123,65620,33777,6562,3113,97,0.014782078634562634,0.0921633063919235,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=50, k=3",50.0,50.0,50.0,3,0.0,0.1818181818181817,0.5953419513405891,39960,36343,3996,2004,2,0.0005005005005005005,0.055141292683597944,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=50, k=5",50.0,50.0,50.0,5,0.0,0.1818181818181817,0.6128774616214123,65620,33777,6562,0,17,0.0025906735751295338,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=50, k=5",50.0,50.0,50.0,5,0.0,0.1818181818181817,0.5953419513405891,39960,36343,3996,0,1,0.00025025025025025025,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=60, k=1",60.0,60.0,40.0,1,0.1818181818181817,0.1818181818181817,0.5995419138621834,65620,33777,6562,4223,135,0.020572996037793355,0.12502590520176451,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=60, k=1",60.0,60.0,40.0,1,0.0,0.1818181818181817,0.5811262090963414,39960,36343,3996,7553,9,0.0022522522522522522,0.20782544093773217,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=60, k=3",60.0,60.0,40.0,3,0.1818181818181817,0.1818181818181817,0.5995419138621834,65620,33777,6562,44,1,0.00015239256324291374,0.0013026615744441484,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=60, k=3",60.0,60.0,40.0,3,0.0,0.1818181818181817,0.5811262090963414,39960,36343,3996,1216,2,0.0005005005005005005,0.033458987975676195,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=60, k=5",60.0,60.0,40.0,5,0.1818181818181817,0.1818181818181817,0.5995419138621834,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=60, k=5",60.0,60.0,40.0,5,0.0,0.1818181818181817,0.5811262090963414,39960,36343,3996,0,1,0.00025025025025025025,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=70, k=1",70.0,70.0,30.0,1,0.1818181818181817,0.1818181818181817,0.5844626903196599,65620,33777,6562,3009,65,0.009905516610789393,0.0890842881250555,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=70, k=1",70.0,70.0,30.0,1,0.0,0.3333333333333333,0.5670768088111702,39960,36343,3996,1713,2,0.0005005005005005005,0.04713424868612938,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=70, k=3",70.0,70.0,30.0,3,0.1818181818181817,0.1818181818181817,0.5844626903196599,65620,33777,6562,28,0,0.0,0.000828966456464458,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=70, k=3",70.0,70.0,30.0,3,0.0,0.3333333333333333,0.5670768088111702,39960,36343,3996,149,1,0.00025025025025025025,0.004099826651624797,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=70, k=5",70.0,70.0,30.0,5,0.1818181818181817,0.1818181818181817,0.5844626903196599,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=70, k=5",70.0,70.0,30.0,5,0.0,0.3333333333333333,0.5670768088111702,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=75, k=1",75.0,75.0,25.0,1,0.1818181818181817,0.3333333333333333,0.5764792539159478,65620,33777,6562,1042,10,0.0015239256324291375,0.03084939455842733,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=75, k=1",75.0,75.0,25.0,1,0.0,0.3333333333333333,0.5593667781988696,39960,36343,3996,1332,2,0.0005005005005005005,0.03665079932861899,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=75, k=3",75.0,75.0,25.0,3,0.1818181818181817,0.3333333333333333,0.5764792539159478,65620,33777,6562,5,0,0.0,0.00014802972436865324,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=75, k=3",75.0,75.0,25.0,3,0.0,0.3333333333333333,0.5593667781988696,39960,36343,3996,92,1,0.00025025025025025025,0.0025314365902649755,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=75, k=5",75.0,75.0,25.0,5,0.1818181818181817,0.3333333333333333,0.5764792539159478,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=75, k=5",75.0,75.0,25.0,5,0.0,0.3333333333333333,0.5593667781988696,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=80, k=1",80.0,80.0,20.0,1,0.1818181818181817,0.3333333333333333,0.5669049472871275,65620,33777,6562,779,7,0.0010667479427003963,0.023063031056636173,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=80, k=1",80.0,80.0,20.0,1,0.0,0.3333333333333333,0.5502918035076032,39960,36343,3996,935,2,0.0005005005005005005,0.02572710012932339,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=80, k=3",80.0,80.0,20.0,3,0.1818181818181817,0.3333333333333333,0.5669049472871275,65620,33777,6562,3,0,0.0,8.881783462119193e-05,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=80, k=3",80.0,80.0,20.0,3,0.0,0.3333333333333333,0.5502918035076032,39960,36343,3996,60,1,0.00025025025025025025,0.001650936906694549,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=80, k=5",80.0,80.0,20.0,5,0.1818181818181817,0.3333333333333333,0.5669049472871275,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=80, k=5",80.0,80.0,20.0,5,0.0,0.3333333333333333,0.5502918035076032,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=85, k=1",85.0,85.0,15.0,1,0.1818181818181817,0.3333333333333333,0.5553905631817011,65620,33777,6562,508,5,0.0007619628162145687,0.015039819995855169,False,False
