unit_id,parent_slice_unit_id,config_id,slice_id,kind,segment_id,signal_source_col,signal_transform,n_rows,segment_start_ts_utc,segment_end_ts_utc,s_t_mean,s_t_std,s_t_min,s_t_p25,s_t_median,s_t_p75,s_t_max,source_csv
cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,G,log1p_gain,111,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,0.5596312258446889,0.45999408943081777,0.0,0.23665844641225953,0.4868765676340283,0.7786236593025417,2.792296880559188,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_02,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_02,G,log1p_gain,120,2020-03-18T10:00:00Z,2020-03-18T11:59:00Z,0.6303915730519826,0.33988216032689533,0.0,0.43017497716202535,0.6412945439134884,0.7908827323326463,2.0403232303809657,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_03,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_03,G,log1p_gain,120,2020-03-18T12:00:00Z,2020-03-18T13:59:00Z,0.7128329068305759,0.3787064791801938,0.12807733270102692,0.43885145128427966,0.6594016172377226,0.8973494458200646,2.680436616608679,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_04,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_04,G,log1p_gain,120,2020-03-18T14:00:00Z,2020-03-18T15:59:00Z,0.6328757281561918,0.3076190961815827,0.1096902596221484,0.3556135473633077,0.6252100192276382,0.8873278098867105,1.5307385226873453,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_05,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_05,G,log1p_gain,106,2020-03-18T16:00:00Z,2020-03-18T17:59:00Z,0.6987846619856071,0.3454876771859502,0.09948795468843283,0.4444380175457711,0.6780826074684202,0.9632384521827365,1.5079808942480932,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_06,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_06,G,log1p_gain,120,2020-03-18T18:00:00Z,2020-03-18T19:59:00Z,0.6710504563436098,0.32475636016004916,0.07142207718571238,0.4183236183417417,0.6513267434317154,0.8482114136872387,1.502181540869342,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_07,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_07,G,log1p_gain,120,2020-03-18T20:00:00Z,2020-03-18T21:59:00Z,0.5301780961644424,0.31880331265472883,0.016048626832874446,0.2578220655514115,0.4898659392207353,0.7272607198731096,1.4251156091566646,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_mwcb_2020_03_18__seg_08,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_08,G,log1p_gain,120,2020-03-18T22:00:00Z,2020-03-18T23:59:00Z,0.6506851174670433,0.37156486956129037,0.07532754488786594,0.4205546869441614,0.5810328603231625,0.8559452911214664,2.821686507747733,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
cfg_001339__covid_noncollapse_2020_03_11__seg_01,cfg_001339__covid_noncollapse_2020_03_11,cfg_001339,covid_noncollapse_2020_03_11,control,seg_01,G,log1p_gain,119,2020-03-11T08:00:00Z,2020-03-11T09:59:00Z,0.603817208507964,0.3597838213740916,0.0,0.34760176876387244,0.5206638281311415,0.7627085030937573,1.7337730730710452,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_noncollapse_2020_03_11.packet.csv
cfg_001339__covid_noncollapse_2020_03_11__seg_02,cfg_001339__covid_noncollapse_2020_03_11,cfg_001339,covid_noncollapse_2020_03_11,control,seg_02,G,log1p_gain,116,2020-03-11T10:00:00Z,2020-03-11T11:59:00Z,0.6529423334742588,0.3640900503719868,0.0,0.4302236285458531,0.5878213517046389,0.8638429415433614,2.1983005898630235,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_noncollapse_2020_03_11.packet.csv
