user_id,fold,is_candidate,starved_in_2050,starvation_time
64,evaluation,0,,
108,calibration,0,,
116,evaluation,0,,
124,calibration,0,,
136,evaluation,0,,
171,calibration,1,0,
187,evaluation,1,0,
217,evaluation,1,0,
246,calibration,0,,
315,evaluation,0,,
329,calibration,0,,
385,evaluation,0,,
404,evaluation,0,,
430,calibration,0,,
465,calibration,0,,
502,evaluation,0,,
527,calibration,0,,
541,evaluation,1,0,
548,evaluation,1,0,
600,calibration,0,,
679,evaluation,0,,
689,evaluation,0,,
710,calibration,0,,
730,evaluation,0,,
756,calibration,1,0,
800,evaluation,0,,
812,evaluation,0,,
842,evaluation,0,,
871,calibration,1,0,
901,evaluation,1,0,
915,calibration,0,,
919,evaluation,1,0,
997,calibration,1,0,
1070,evaluation,0,,
1111,evaluation,0,,
1168,evaluation,1,0,
1179,evaluation,0,,
1246,calibration,0,,
1271,calibration,0,,
1289,evaluation,1,0,
1294,evaluation,0,,
1327,calibration,0,,
1359,evaluation,0,,
1408,evaluation,0,,
1419,calibration,0,,
1438,calibration,0,,
1467,evaluation,0,,
1512,evaluation,0,,
1562,evaluation,0,,
1573,evaluation,0,,
1575,evaluation,0,,
1577,evaluation,0,,
1596,calibration,0,,
1608,calibration,0,,
1722,evaluation,1,0,
1764,evaluation,0,,
1799,calibration,0,,
1823,evaluation,0,,
1846,evaluation,0,,
1869,evaluation,1,0,
1892,evaluation,0,,
1918,evaluation,0,,
1975,evaluation,1,0,
1980,evaluation,0,,
1990,evaluation,0,,
2010,calibration,0,,
2065,calibration,0,,
2089,evaluation,0,,
2177,evaluation,1,0,
2203,calibration,0,,
2220,calibration,0,,
2262,calibration,0,,
2275,evaluation,0,,
2297,calibration,0,,
2321,evaluation,0,,
2345,evaluation,1,0,
2399,calibration,0,,
2464,calibration,1,0,
2466,calibration,0,,
2469,calibration,1,0,
2473,evaluation,1,0,
2686,evaluation,0,,
2711,evaluation,0,,
2719,calibration,1,0,
2740,calibration,0,,
2766,calibration,1,0,
2778,calibration,1,0,
2784,evaluation,0,,
2905,evaluation,0,,
2957,calibration,0,,
2958,calibration,0,,
2972,calibration,0,,
2982,evaluation,1,0,
3028,evaluation,1,0,
3062,calibration,1,0,
3218,evaluation,1,0,
3221,evaluation,0,,
3224,calibration,0,,
3227,evaluation,0,,
3247,calibration,0,,
3272,evaluation,1,0,
3274,evaluation,1,0,
3281,calibration,1,0,
3322,calibration,0,,
3370,evaluation,0,,
3487,calibration,0,,
3607,calibration,0,,
3626,evaluation,0,,
3666,evaluation,0,,
3707,evaluation,0,,
